2AK	4CK	6DK	8EK	8DK	8EK	11EK	11EK	7EK	9EK	13EK	13EK	10EK	10EK	15EK	18EK	19EK	22EK	25EK	27EK
2	3	5	6	6	6	8	8AK	6AK	7AK	10BK	9BK	8BK	8BK	12BK	13CK	14BK	16BK	19CK	20CG
2	3	5	6	6	6	8	8AK	6AK	7AK	10BK	9BK	8BK	8BK	11BK	13CG	13BG	16BK	19CK	20CK
2	3	5	6	6	6	8	8AG	6AK	7AK	9BK	9BK	8BK	8BK	11BK	13CK	13BK	16BK	19CK	20BK
2	3	5	6	6	6	8	8AK	6AK	7AK	9BG	9BK	8BK	8BK	11BK	13BK	13AK	16BK	19CK	19BK
2	3	5	6	6	6	8	8	5AK	6AK	9BK	9BK	8BK	8BK	11BK	13BK	13AK	15BK	19CK	19BK
2	3	5	6	6	6	8	8	5AK	6AK	9AK	9BK	8BK	8BK	11BK	13BK	13AK	15BG	19CK	19BK
2	3	5	6	6	6	8	8	5AK	6AK	9AK	9BK	8BG	8BK	11BK	12BK	12AK	15BK	18CG	19BK
2	3	4	6	6	6	8	7	5AG	6AK	9AK	9BK	8BK	8BK	11BK	12BK	12AK	15AK	18CK	18BK
2	3	4	6	6	6	8	7	5AK	6AK	9AK	8BK	8AK	8BK	11BK	12BK	12AK	15AK	18BK	18BK
2	3	4	6	6	6	7	7	5	6AK	9AK	8BK	8AK	8BK	10BK	12BK	12AK	14AK	18BK	18BK
2	3	4	5	6	6	7	7	5	6AK	9AK	8BK	8AK	7BK	10BK	12BK	12AK	14AK	18BK	18BG
2	3	4	5	6	6	7	7	5	6AK	8AK	8BG	8AK	7BK	10BK	12BK	11AK	14AK	17BK	17BK
2	3	4	5	6	5	7	7	5	6AG	8AK	8BK	7AK	7BG	10BK	12BK	11AK	14AK	17BK	17AK
2	3	4	5	6	5	7	7	5	6AK	8AK	8AK	7AK	7BK	10BK	11BK	11AK	14AK	17BK	17AK
2	3	4	5	5	5	7	7	5	6	8AK	8AK	7AK	7AK	10BG	11BK	11AK	13AK	17BK	17AK
2	3	4	5	5	5	7	7	5	6	8AK	8AK	7AK	7AK	10BK	11BK	11	13AK	17BK	17AK
2	3	4	5	5	5	7	7	5	5	8AK	7AK	7AK	7AK	10AK	11BK	11	13AK	16BK	16AK
2	3	4	5	5	5	7	6	5	5	8AG	7AK	7AK	7AK	9AK	11BK	10	13AK	16BK	16AK
2	3	4	5	5	5	7	6	5	5	8AK	7AK	7AK	7AK	9AK	11BG	10	13AG	16BG	16AK
2	3	4	5	5	5	6	6	5	5	7	7AK	7AK	7AK	9AK	10BK	10	12AK	16BK	16AK
2	3	4	5	5	5	6	6	5	5	7	7AK	7AK	7AK	9AK	10AK	10	12	16AK	15AK
2	3	4	5	5	5	6	6	4	5	7	7AK	7AK	7AK	9AK	10AK	10	12	16AK	15AK
2	3	4	5	5	5	6	6	4	5	7	7AK	7AG	7AK	9AK	10AK	9	12	15AK	15AK
2	3	4	5	5	5	6	6	4	5	7	7AK	7AK	7AK	9AK	10AK	9	12	15AK	15AG
2	3	4	4	5	5	6	6	4	5	7	6AK	7	6AK	9AK	10AK	9	11	15AK	14AK
2	3	4	4	5	5	6	6	4	5	7	6AK	7	6AK	9AK	9AK	9	11	15AK	14
2	3	3	4	5	4	6	5	4	5	7	6AK	6	6AK	8AK	9AK	9	11	15AK	14
2	3	3	4	5	4	6	5	4	5	6	6AG	6	6AG	8AK	9AK	8	11	14AK	14
2	3	3	4	5	4	6	5	4	4	6	6AK	6	6AK	8AK	9AK	8	11	14AK	14
2	3	3	4	4	4	5	5	4	4	6	6	6	6	8AK	9AK	8	10	14AK	13
2	3	3	4	4	4	5	5	4	4	6	6	6	6	8AK	9AK	8	10	14AK	13
2	2	3	4	4	4	5	5	4	4	6	6	6	6	8AK	9AK	8	10	14AK	13
2	2	3	4	4	4	5	5	4	4	6	5	6	6	8AG	8AK	8	10	13AK	13
2	2	3	4	4	4	5	5	4	4	6	5	6	6	8AK	8AK	7	10	13AG	12
2	2	3	4	4	4	5	5	4	4	6	5	6	6	7	8AK	7	9	13AK	12
2	2	3	4	4	4	5	5	4	4	6	5	6	6	7	8AK	7	9	13	12
1	2	3	4	4	4	5	4	4	4	5	5	6	6	7	8AK	7	9	13	12
1	2	3	4	4	4	5	4	4	4	5	5	6	6	7	8AG	7	9	13	11
1	2	3	3	4	4	5	4	4	4	5	5	6	5	7	7AK	6	9	12	11
1	2	3	3	4	4	4	4	3	4	5	5	6	5	7	7	6	8	12	11
1	2	3	3	4	4	4	4	3	3	5	4	6	5	7	7	6	8	12	11
1	2	3	3	4	3	4	4	3	3	5	4	5	5	7	7	6	8	12	11
1	2	3	3	4	3	4	4	3	3	5	4	5	5	6	7	6	8	12	11
1	2	3	3	4	3	4	4	3	3	5	4	5	5	6	7	5	8	11	10
1	2	3	3	3	3	4	4	3	3	4	4	5	5	6	6	5	7	11	10
1	2	3	3	3	3	4	4	3	3	4	4	5	5	6	6	5	7	11	10
1	2	2	3	3	3	4	3	3	3	4	4	5	5	6	6	5	7	11	9
1	2	2	3	3	3	4	3	3	3	4	4	5	5	6	6	5	7	11	9
1	2	2	3	3	3	4	3	3	3	4	3	5	5	6	6	5	7	10	9
1	2	2	3	3	3	3	3	3	3	4	3	5	5	6	6	4	6	10	9
1	2	2	2	3	3	3	3	3	2	4	3	5	5	5	5	4	6	10	8
1	2	2	2	3	2	3	2	3	2	3	2	4	4	5	5	3	0	9	0
1	2	2	2	2	2	2	2	2	2	2	2	4	4	4	4	0	0	8	0
1	1	1	1	2	2	2	1	2	0	2	0	4	3	3	3	0	0	0	0
1	1	1	1	2	1	1	1	2	0	0	0	3	3	3	0	0	0	0	0
1	1	1	1	1	1	1	0	0	0	0	0	3	3	0	0	0	0	0	0
1	1	1	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0
1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
