0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,1,1,1,1,1
0,0,0,0,0,3,3,3,0,0,0,2,1,1,1,2,1,1,1,1
0,0,0,0,0,3,3,3,0,0,0,2,1,1,1,2,1,1,1,1
0,0,0,0,0,3,3,3,0,0,0,2,1,1,1,2,1,1,1,1
0,0,0,0,0,3,3,3,0,0,0,2,1,1,1,2,1,1,1,1
0,0,0,0,0,3,3,3,0,0,0,2,1,1,1,2,1,1,1,1
0,0,0,0,3,3,3,4,0,2,0,2,1,2,2,2,1,1,1,1
0,0,0,0,3,3,3,4,0,2,0,2,1,2,2,2,1,1,1,1
0,0,0,0,3,3,3,4,0,2,0,2,1,2,2,2,1,1,1,1
0,0,0,0,3,3,3,4,0,2,0,2,1,2,2,2,1,1,1,1
0,0,0,0,3,3,3,4,0,2,0,2,1,2,2,2,1,1,1,1
0,8,0,0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1
0,8,0,0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1
0,8,0,0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1
0,8,0,0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1
0,8,0,0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1
0,9,0,3,5,5,4,4,2,3,2,3,2,3,2,3,2,2,2,1
0,9,0,3,5,5,4,4,2,3,2,3,2,3,2,3,2,2,2,1
0,9,0,3,5,5,4,4,2,3,2,3,2,3,2,3,2,2,2,1
0,9,0,3,5,5,4,4,2,3,2,3,2,3,2,3,2,2,2,1
0,9,0,3,5,5,4,4,2,3,2,3,2,3,2,3,2,2,2,1
8,10,6,4,5,5,5,5,3,4,2,3,3,3,3,3,2,2,2,1
8,10,6,4,5,5,5,5,3,4,2,3,3,3,3,3,2,2,2,1
8,10,6,4,5,5,5,5,3,4,2,3,3,3,3,3,2,2,2,1
8,10,6,4,5,5,5,5,3,4,2,3,3,3,3,3,2,2,2,1
9,10,6,4,6,6,5,5,3,4,3,3,3,3,3,3,3,2,2,1
9,10,7,5,6,6,5,5,3,4,3,3,3,4,3,3,3,2,2,1
9,11,7,5,6,6,5,5,4,4,3,3,3,4,3,3,3,2,2,1
9,11,7,5,6,6,5,5,4,4,3,3,3,4,3,3,3,2,2,1
10,11,7,5,6,6,5,5,4,4,3,3,4,4,3,3,3,3,2,1
10,11,7,5,6,6,5,5,4,4,3,3,4,4,3,3,3,3,2,1
10,11,8,5,7,6,5,5,4,5,3,3,4,4,3,4,3,3,2,1
11,12,8,6,7,6,5,5,4,5,3,3,4,4,3,4,3,3,2,1
11,12,8,6,7,7,5,5,4,5,3,3,4,4,3,4,3,3,2,1
11,12,8,6,7,7,5,6,4,5,3,3,4,4,4,4,3,3,2,1
11,12,8,6,7,7,5,6,5,5,4,3,4,4,4,4,3,3,2,1
11,12,9,6,7AK,7,5,6,5,5,4,4,4,5,4,4,3,3,2,1
11,13,9,7,8AG,7,6,6,5,5,4,4,4,5,4,4,4,3,2,1
12,13,9,7,8AK,7,6,6,5,5,4,4,4,5,4,4,4,3,2,1
12,13,9,7,8AK,7,6,6,5,6,4,4,5,5,4,4,4,3,2,2
12,13AK,9,7,8AK,7,6,6,5,6,4,4,5,5,4,4,4,3,2,2
12,13AG,10,7,8AK,8AK,6,6,5,6,4,4,5,5,4,4,4,3,2,2
13,13AK,10,8,8AK,8AG,6,6,5,6,4,4,5,5,4,4,4,3,2,2
13,14AK,10,8,9AK,8AK,6,6,6,6,4,4,5,5,4,4,4,3,2,2
13,14AK,10,8,9AK,8AK,6,6,6,6,4,4,5,5,4,4,4,3,3,2
13,14AK,10,8,9AK,8AK,6,6,6,6,4,4,5,5,4,4,4,3,3,2
14,14AK,11,8,9AK,8AK,6AK,6,6AK,6,4,4,5,6,4,5,4,3,3,2
14,14AK,11,8,9AK,8AK,6AG,6,6AG,6,5,4,5,6,4,5,4,3,3,2
14,15AK,11,9,9AK,8AK,6AK,6,6AK,7,5,4,5,6,4,5,4,3,3,2
14,15AK,11,9,9AK,9AK,6AK,7,6AK,7,5,4,6,6,5,5,4,4,3,2
14AK,15AK,11,9,10AK,9AK,6AK,7,6AK,7,5,4,6,6,5,5,4,4,3,2
15AG,15AK,12,9,10AK,9AK,7AK,7AK,7AK,7,5,4,6,6,5,5,5,4,3,2
15AK,15AK,12,9,10AK,9AK,7AK,7AG,7AK,7,5,4,6,6,5,5,5,4,3,2
15AK,16AK,12,10,10AK,9AK,7AK,7AK,7AK,7,5,4,6,6,5,5,5,4,3,2
15AK,16AK,12,10,10AK,9AK,7AK,7AK,7AK,7,5,5,6,6,5,5,5,4,3,2
16AK,16BK,12AK,10,10BK,9AK,7AK,7AK,7AK,7,5,5,6,6,5,5,5,4,3,2
16AK,16BG,13AG,10,11BG,9AK,7AK,7AK,7AK,8AK,5,5,6,7,5,5,5,4,3,2
16AK,16BK,13AK,10,11BK,9AK,7AK,7AK,7AK,8AG,5,5,6,7,5,5,5,4,3,2
16AK,16BK,13AK,11,11BK,10AK,7AK,7AK,7AK,8AK,5,5,7,7,5,5,5,4,3,2
17AK,17BK,13AK,11,11BK,10BK,7AK,7AK,8AK,8AK,6,5,7,7,5,5,5,4,3,2
17AK,17BK,13AK,11AK,11BK,10BG,7AK,7AK,8AK,8AK,6,5,7,7,5,5,5,4,3,2
17AK,17BK,14AK,11AK,11BK,10BK,7BK,7AK,8AK,8AK,6AK,5,7,7,5,6,5,4,3,2
17AK,17BK,14AK,11AK,12BK,10BK,7BG,7AK,8BK,8AK,6AG,5,7,7,5,6,5,4,3,2
17BK,17BK,14AK,11AK,12BK,10BK,7BK,8AK,8BG,8AK,6AK,5,7,7,6,6,5,4,3,2
18BG,18BK,14AK,12AK,12BK,10BK,7BK,8AK,8BK,9AK,6AK,5,7,7,6,6,5,4,3,2
18BK,18BK,14AK,12AK,12BK,10BK,8BK,8AK,8BK,9AK,6AK,5,7,7,6,6,6,4,3,2
18BK,18BK,15AK,12AK,12BK,11BK,8BK,8AK,8BK,9AK,6AK,5AK,7,8,6,6,6,4,3,2
18BK,18CK,15AK,12AK,12BK,11BK,8BK,8BK,9BK,9AK,6AK,5AG,7,8,6,6,6,4,3,2
19BK,18CG,15BK,12AK,12BK,11BK,8BK,8BG,9BK,9AK,6AK,5AK,8,8,6,6,6,5,3,2
19BK,19CK,15BG,13AK,13BK,11BK,8BK,8BK,9BK,9AK,6AK,5AK,8,8,6,6,6,5,3,2
19BK,19CK,15BK,13AK,13BK,11BK,8BK,8BK,9BK,9BK,6AK,5AK,8,8,6,6,6,5,3,2
19BK,19CK,16BK,13AK,13BK,11BK,8BK,8BK,9BK,9BG,7AK,6AK,8AK,8,6,6,6,5,3,2
20BK,19CK,16BK,13BK,13CK,11BK,8BK,8BK,9BK,9BK,7AK,6AK,8AG,8,6,6,6,5,3,2
20CK,19CK,16BK,13BG,13CG,11BK,8BK,8BK,9BK,10BK,7AK,6AK,8AK,8,6,6,6,5,3,2
20CG,19CK,16BK,14BK,13CK,12BK,8BK,8BK,9BK,10BK,7AK,6AK,8AK,8,6,6,6,5,3,2
20CK,20CK,16BK,14BK,14CK,12CK,8CK,8BK,10BK,10BK,7BK,6AK,8AK,8,6,6,6,5,4,2
21CK,20CK,17BK,14BK,14CK,12CG,8CG,8BK,10BK,10BK,7BG,6AK,8AK,9,6,7,6,5,4,2
21CK,20CK,17BK,14BK,14CK,12CK,8CK,8BK,10CK,10BK,7BK,6AK,8AK,9,6,7,6,5,4,2
21CK,20CK,17CK,14BK,14CK,12CK,8CK,9BK,10CG,10BK,7BK,6AK,9AK,9,7,7,6,5,4,2
21CK,20CK,17CG,14BK,14CK,12CK,9CK,9BK,10CK,10BK,7BK,6BK,9AK,9,7,7,7,5,4,2
21CK,21DK,17CK,15BK,14CK,12CK,9CK,9BK,10CK,10BK,7BK,6BG,9AK,9,7,7,7,5,4,2
22CK,21DG,18CK,15CK,15CK,12CK,9CK,9CK,10CK,11BK,7BK,6BK,9AK,9AK,7,7,7AK,5,4,2
22CK,21DK,18CK,15CG,15CK,13CK,9CK,9CG,10CK,11BK,7BK,6BK,9AK,9AG,7,7,7AG,5,4,2
22CK,21DK,18CK,15CK,15CK,13CK,9CK,9CK,11CK,11CK,8BK,6BK,9BK,9AK,7,7,7AK,5,4,2
22DK,21DK,18CK,15CK,15CK,13CK,9CK,9CK,11CK,11CG,8BK,6BK,9BG,9AK,7,7,7AK,5,4,2
23DG,22DK,18CK,16CK,15CK,13CK,9CK,9CK,11CK,11CK,8BK,6BK,9BK,9AK,7,7,7AK,5,4,2
23DK,22DK,19CK,16CK,15DK,13CK,9CK,9CK,11CK,11CK,8CK,6BK,9BK,10AK,7AK,7,7AK,5,4,2
23DK,22DK,19CK,16CK,15DG,13CK,9CK,9CK,11CK,11CK,8CG,6BK,10BK,10AK,7AG,7,7AK,6,4,2
23DK,22DK,19CK,16CK,16DK,13CK,9CK,9CK,11CK,11CK,8CK,6BK,10BK,10AK,7AK,7,7AK,6,4,2
24DK,22DK,19DK,16CK,16DK,13CK,9CK,9CK,11CK,11CK,8CK,7BK,10BK,10AK,7AK,7,7AK,6,4,2
24DK,22DK,19DG,17CK,16DK,14DK,9CK,9CK,11CK,12CK,8CK,7CK,10BK,10AK,7AK,7,7AK,6,4,2
24DK,23EK,20DK,17CK,16DK,14DG,9DK,9CK,12CK,12CK,8CK,7CG,10BK,10BK,7AK,8AK,7AK,6AK,4,2
24DK,23EG,20DK,17DK,16DK,14DK,9DG,10CK,12DK,12CK,8CK,7CK,10CK,10BG,8AK,8AG,7BK,6AG,4,2
24EK,23EK,20DK,17DG,16DK,14DK,10DK,10CK,12DG,12CK,8CK,7CK,10CG,10BK,8AK,8AK,8BG,6AK,4,2
25EG,23EK,20DK,17DK,17DK,14DK,10DK,10CK,12DK,12CK,8CK,7CK,10CK,10BK,8BK,8AK,8BK,6AK,4,2
25EK,23EK,20DK,17DK,17DK,14DK,10DK,10DK,12DK,12CK,9CK,7CK,10CK,10BK,8BG,8AK,8BK,6AK,4,2
25EK,24EK,21DK,18DK,17DK,14DK,10DK,10DG,12DK,12CK,9CK,7CK,10CK,11BK,8BK,8AK,8BK,6AK,4,2
25EK,24EK,21EK,18DK,17EK,14DK,10DK,10DK,12DK,12DK,9CK,7CK,11CK,11CK,8BK,8AK,8BK,6AK,4,2
26EK,24EK,21EG,18DK,17EG,15DK,10DK,10DK,12DK,13DG,9CK,7CK,11CK,11CG,8BK,8AK,8CK,6AK,4,2
26EK,24EK,21EK,18EK,17EK,15EK,10DK,10DK,13DK,13DK,9DK,7CK,11CK,11CK,8CK,8BK,8CG,6BK,4,2
26EK,24EK,21EK,18EG,18EK,15EG,10EK,10DK,13EK,13DK,9DG,7CK,11DK,11CK,8CG,8BK,8CK,6BG,4,2
26EK,25EK,22EK,19EK,18EK,15EK,10EG,10EK,13EG,13DK,9DK,7DK,11DG,11CK,8CK,8BK,8CK,6BK,4AK,2
27EK,25EK,22EK,19EK,18EK,15EK,10EK,10EG,13EK,13DK,9DK,7DG,11DK,11CK,8CK,8BK,8CK,6BK,4AG,2
27EK,25EK,22EK,19EK,18EK,15EK,10EK,10EK,13EK,13EK,9EK,7DK,11DK,11CK,8CK,8CK,8DK,6CK,4AK,2
27EK,25EK,22EK,19EK,18EK,15EK,10EK,10EK,13EK,13EG,9EG,7EK,11EK,11DK,8DK,8CK,8DK,6CG,4AK,2
27EK,25EK,22EK,19EK,18EK,15EK,10EK,10EK,13EK,13EK,9EK,7EG,11EK,11DK,8DK,8CK,8EK,6CK,4BK,2
27EK,25EK,22EK,19EK,18EK,15EK,10EK,10EK,13EK,13EK,9EK,7EK,11EK,11EK,8EK,8DK,8EK,6DK,4CK,2AK
